student_id,term_key,major_name,risk_label,term_gpa,failed_course_count,borderline_course_count,failed_course_ratio,dim_academic_base_score,dim_appraisal_status_alert_score,dim_class_engagement_score,dim_daily_routine_boundary_score,dim_library_immersion_score,dim_network_habits_score,dim_online_activeness_score,dim_physical_resilience_score,dataset_split
pjvyzxbj993,2023-2,智能科学与技术,1,1.4,0.0,2.0,0.0,0.87,0.0,0.0,0.0,0.53,0.0,1.0,0.54,train
pjvyzxbj995,2023-2,智能科学与技术,1,1.457142857142857,0.0,1.0,0.0,0.93,0.12,0.0,0.0,0.0,0.0,1.0,0.78,train
pjvyzxbj997,2023-2,智能科学与技术,0,2.18,0.0,0.0,0.0,1.0,0.44,0.0,0.0,0.0,0.0,0.0,0.78,train
pjvyzxbj998,2023-2,智能科学与技术,1,1.8142857142857145,0.0,1.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,1.0,0.67,train
pjvyzxbj998,2024-1,智能科学与技术,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.63,train
pjvyzxbj998,2024-2,智能科学与技术,1,1.0666666666666669,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.63,train
pjwqzwbj998,2023-2,网络工程,0,2.085714285714286,0.0,0.0,0.0,1.0,0.23,0.0,0.0,0.0,0.0,1.0,0.93,train
pjwrqxbj882,2023-2,材料科学与工程,0,2.18,0.0,0.0,0.0,1.0,0.23,0.0,0.25,0.0,0.0,1.0,0.65,train
pjwrqxbj884,2023-2,应用物理学,0,2.16,0.0,0.0,0.0,1.0,0.44,0.0,0.0,0.0,0.0,1.0,0.72,train
pjwrqxbj890,2023-2,电子科学与技术,1,1.85,0.0,0.0,0.0,1.0,0.23,0.0,0.75,1.0,0.0,1.0,0.61,train
pjwrqxbj898,2023-2,纳米材料与技术,0,2.288888888888889,0.0,1.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
pjwrqxbj898,2024-1,纳米材料与技术,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
pjwrqxbj901,2023-2,应用化学,1,2.757142857142857,2.0,2.0,0.0952380952380952,0.59,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
